Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,4,90,111004,1,2103597.3,3106420.2,0,0,46.9,82.4,49.4,83.8,465.4,4.2
Medical Office,3.5,71,975524,1,49873135.8,39590094.2,0,0,129.3,261.9,130.8,262,9226,13.3
Office,3.5,71,3021067,1,115027288.8,42190410.7,0,0,57.1,133.2,59.1,135.2,18669.9,6.8
Multifamily Housing,4,81,852820,1,9145886.5,48935882.8,0,0,76.6,101.6,83.6,107.6,3905.5,5.2
Multifamily Housing,1,6,227669,1,6369569.4,20484191.8,0,0,139.6,204.6,148.2,211.5,1997.8,10.4
Multifamily Housing,3.5,54,137870,1,1834216.5,8164000.1,0,0,93.4,128.1,100,134.2,695.6,6.5
Multifamily Housing,1.5,37,50000,1,1501576.8,4109745.3,0,0,112.2,170.4,118.8,175.3,432.8,8.7
Hospital (General Medical & Surgical),4,85,966916,2,47724053.4,86512220.1,0,0,196.9,329.2,200.5,329.2,11411.3,16.7
Multifamily Housing,3.5,56,586721,2,7626215.8,42903698.5,0,0,100.5,132.1,99.4,129,3368,6.7
Hospital (General Medical & Surgical),4,99,1836457,15,67889792.3,121905914.8,0,0,144.8,242.7,149.8,246,16171.5,12.3
Medical Office,4,97,142955,1,5678240.2,0,3048096.4,0,61,136.9,62.3,136.8,1013.4,7.1
K-12 School,2,41,455800,1,11386123.8,30361990.3,0,0,91.6,139.9,101.8,148.5,3238.9,7.1
K-12 School,1,19,260140,2,12846524.6,5943700,0,0,72.2,162.3,75,165.2,2150.5,8.3
Multifamily Housing,4,86,53136,1,608325.8,2388400,0,0,56.4,79.3,56.4,79.3,213.7,4
Office,4,90,206154,1,2825432.8,9422831,0,0,67.2,92.4,72.5,97.2,904,5
