Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
K-12 School,1.5,40,108624,1,3779939.8,3205549.8,0,0,64.3,128.4,67,129.9,710.1,6.5
K-12 School,3.5,78,106366,2,2449132.6,1827280.2,0,0,40.2,82.5,41.8,83,446.9,4.2
K-12 School,1.5,32,106650,1,3980811.1,3615760.1,0,0,71.2,140.1,73.6,140.4,760.6,7.1
K-12 School,2.5,60,98646,3,1710085.2,5271930.2,0,0,70.8,104.7,79.3,115.4,524.3,5.3
K-12 School,1,25,81350,1,2931689,3908060.2,0,0,84.1,151.3,87.9,152.3,626.3,7.7
K-12 School,2,50,117451,3,1598665.3,8629739.7,0,0,87.1,115.3,98.3,127,686.7,5.8
K-12 School,2,42,73326,2,1570761.3,4644000,0,0,84.8,126.5,92.2,134.3,471,6.4
K-12 School,4,81,117104,1,1373996.4,5225760.5,0,0,56.4,79.7,63.2,86.8,473.8,4
K-12 School,2.5,52,132193,3,3093585.3,6108789.8,0,0,69.6,114,77.6,125.1,766.3,5.8
K-12 School,2,48,101940,2,2548043.4,4793749.9,0,0,72,119.4,77.7,123.3,618.5,6.1
K-12 School,3.5,57,117116,4,2964802.5,3960210.4,0,0,59.1,106.4,64.7,112.2,633.8,5.4
K-12 School,1,16,129990,3,3695731.7,10806340.3,0,0,111.6,166.9,124,179.9,1101.8,8.5
K-12 School,1.5,35,118800,3,3124418.9,6801910,0,0,83.6,133.8,90.9,139.9,807.5,6.8
K-12 School,4,84,80219,2,964092.3,3235949.7,0,0,52.4,76,57.3,81.2,309.6,3.9
K-12 School,4,79,106624,3,1073667.7,5270489.4,0,0,59.5,80.1,65.7,86.6,433.3,4.1
K-12 School,2.5,51,76423,3,1171275.5,5290899.9,0,0,84.6,115.6,92.6,124.1,448.3,5.9
K-12 School,2,44,123430,3,3120017.4,6257169.8,0,0,76,124,81.1,127.8,778,6.3
K-12 School,2,50,52237,2,1077333.5,2882279.8,0,0,75.8,115.7,84,124.3,307,5.9
K-12 School,3.5,71,125430,2,1719289.1,6283350,0,0,63.8,91,72.5,100.1,579.3,4.6
K-12 School,1.5,38,136047,3,3833777.8,6603010,0,0,76.7,129.9,84.4,138,898.3,6.6
K-12 School,2,44,121241,3,3810968.6,4071970.1,0,0,65,123.3,69.8,129.8,760.6,6.3
K-12 School,1,30,127162,1,4988108.6,3871510.1,0,0,69.7,141.8,71.2,140.1,918.1,7.2
K-12 School,1,30,117576,3,3420601.7,6711979.5,0,0,86.2,141.4,94.5,150.1,845.1,7.2
K-12 School,2.5,53,126540,1,3918801.4,4632350,0,0,67.6,125.2,72.1,129.9,805.8,6.4
K-12 School,3.5,54,63816,1,1667191.9,4323854.6,0,0,93.9,144.3,101.9,152.7,467.8,7.3
K-12 School,4,94,135638,3,2694249.6,25640,0,0,20.1,55.8,20.1,55.8,386.2,2.8
K-12 School,1,23,133238,4,4569763.3,7107620.1,0,0,87.6,152,95.4,160.2,1030.2,7.7
K-12 School,3,70,52920,1,719510.3,2790010.1,0,0,66.3,93.4,72.6,100,251,4.7
K-12 School,3,62,70601,2,1171291.5,3665630,0,0,68.5,101,76.5,109.4,362,5.1
K-12 School,1,25,140838,5,4700569.1,7628110.1,0,0,87.5,150.3,93,154.8,1076.5,7.6
K-12 School,1,7,128128,2,5282379.9,10183890.1,0,0,120.7,198.9,130.2,208.8,1295.4,10.1
K-12 School,2,42,154984,1,4654517.3,6227939.9,0,0,70.2,126.3,74.7,131,995.6,6.4
K-12 School,3.5,76,138936,3,2898919.5,6012360.3,0,0,64.1,103.9,70.1,110.1,733.4,5.3
K-12 School,3.5,77,143266,4,1769501.4,6969910.5,0,0,61,85.7,66.3,91.2,622.9,4.3
K-12 School,1,15,121557,3,3978405.6,9303259.6,0,0,109.3,172,118.8,182,1062.4,8.7
K-12 School,2.5,55,137971,2,2209228.7,8473110.1,0,0,77.4,109.3,87,119.4,765.6,5.5
K-12 School,4,89,83646,1,1479317,3068123,0,0,54.4,88,59.5,93.5,374.2,4.5
K-12 School,2.5,57,118211,2,2011124.9,6850969.9,0,0,75,108.5,83.3,117.2,651.1,5.5
K-12 School,1,25,147016,4,5188904.8,6988540.1,0,0,82.8,148.7,89.5,155.8,1112.3,7.6
K-12 School,3,67,151694,2,3059455.8,5902770.2,0,0,59.1,97.3,64.5,103.9,750.5,4.9
K-12 School,1,22,86480,3,1775408.6,8038189.8,0,0,113.5,155.1,129.4,171.8,680.5,7.9
K-12 School,1,30,150436,5,4668161.9,8058559.9,0,0,84.6,143.1,92.5,151.5,1094.8,7.3
K-12 School,1,7,156400,2,8574315.1,7137460,0,0,100.5,201.4,102.8,199.1,1603.7,10.3
K-12 School,1,28,80075,1,1440915.9,7294799.8,0,0,109.1,146,121.9,159.5,593.3,7.4
K-12 School,4,86,169086,1,2973710.5,5105160.3,0,0,47.8,80.9,52.1,85.5,695.9,4.1
K-12 School,2,42,155337,4,3656138.8,8949030,0,0,81.1,126.4,88.5,134.1,997.5,6.4
K-12 School,2,46,165513,2,4034014.4,8164059.9,0,0,73.7,120,80.6,127.3,1009.8,6.1
K-12 School,4,85,171400,3,2370821.7,7695409.7,0,0,58.7,85.9,65.5,93,747.4,4.4
K-12 School,1.5,37,216475,2,9029148.3,6254419.9,0,0,70.6,147.1,74.5,151.2,1621.8,7.5
K-12 School,2.5,53,112806,1,3207831.7,3557039.9,0,0,60,112.7,63.8,116.8,647.1,5.7
K-12 School,2,48,95265,1,3122652.2,2381370,0,0,57.8,118,60.1,119.4,572.5,6
K-12 School,1.5,34,185689,2,5866572.3,11030650.1,0,0,91,150.8,99.3,159.5,1423.8,7.7
K-12 School,2,49,68612,3,1881737.8,2565830.2,0,0,64.8,116.1,70.5,122,405,5.9
K-12 School,1,3,162840,2,9497602.3,15123090,0,0,151.2,260.8,161.7,271.9,2159.8,13.3
K-12 School,1.5,38,110540,1,3227070.3,6729929.9,0,0,90.1,145.7,98.6,154.7,818.4,7.4
K-12 School,2,48,165364,2,4346795.9,7130000.1,0,0,69.4,118.9,74.2,123.9,999.5,6
K-12 School,1,4,159500,1,8779202.2,13737539.9,0,0,141.2,244.6,148.9,249.6,1983.6,12.4
K-12 School,2.5,53,169900,2,3731441.7,8151579.8,0,0,69.9,111.9,77.6,119.9,965.9,5.7
K-12 School,2.5,60,164398,3,4190710.5,5184769.5,0,0,57,104.5,59.4,104.7,873.9,5.3
K-12 School,3,68,172688,2,4158931.2,4735969.9,0,0,51.5,96.2,55.1,100,845.6,4.9
K-12 School,1.5,33,66300,1,1693326.8,4160159.7,0,0,88.3,137.4,95.6,145.1,462.8,7
K-12 School,2,41,71500,1,1799097.4,3899879.8,0,0,79.7,127.7,85.8,134.1,464.1,6.5
K-12 School,1,21,205094,1,9621038.2,8897050.5,0,0,90.3,176.9,93.2,177,1846.7,9
K-12 School,2.5,53,114704,2,2076961.2,6832210.2,0,0,77.7,113.2,84.6,120.6,659.5,5.7
K-12 School,2.5,60,213710,1,6836627.8,5337930,0,0,57,115.8,59.4,118.3,1260,5.9
K-12 School,4,88,181923,3,1984924.5,8234390.1,0,0,56.2,78.1,62.5,84.4,720.9,4
K-12 School,2.5,58,218950,1,4070505.8,13858110.7,0,0,81.9,118.5,92,130.2,1317.4,6
K-12 School,1,5,222600,1,12695106.9,16407752.1,0,0,130.7,237.1,138.5,241.2,2684.7,12.1
K-12 School,1.5,35,108534,1,3412624.4,4871610.2,0,0,76.3,135.2,80.8,138,746.2,6.9
K-12 School,1.5,37,256400,3,9445443,10875470.1,0,0,79.3,147.7,84.2,151.7,1926.7,7.5
K-12 School,1,15,73984,3,2980451.9,4134710.1,0,0,96.2,171.5,102.3,174.6,645.3,8.7
K-12 School,2,46,89910,6,1843856.1,4732249.8,0,0,73.1,112.7,80.3,120.2,514.7,5.7
K-12 School,2,50,93200,1,1716195.1,5593259.8,0,0,78.4,114.6,88.6,125.3,542.2,5.8
K-12 School,1,20,109399,2,3380250,7564300.2,0,0,100,159.1,109.4,168.9,884.6,8.1
K-12 School,2.5,40,108653,4,2608997.7,6387700.2,0,0,82.8,129,89.5,136,711.9,6.6
K-12 School,2.5,59,101364,4,1616821.2,5884260.1,0,0,74,105.6,81.7,114.8,543.5,5.4
Multifamily Housing,4,88,162305,1,2912922.3,5422882.2,0,0,59.9,99.6,62.9,101.9,704.1,5.1
Multifamily Housing,4,86,166322,1,2976298.2,5538429.9,0,0,60.5,100.6,62.4,101.5,719.3,5.1
Multifamily Housing,4,68,156035,1,3438535.1,10455863.5,0,0,89,132.1,95.2,137.7,1046.5,6.7
Multifamily Housing,4,64,78224,1,1853799.3,5684347.8,0,0,96.4,142.7,104.7,151.4,566.7,7.2
Multifamily Housing,4,95,124125,1,1949784.3,3430431,0,0,52.8,89,54.6,89.5,460.7,4.5
Office,4,85,155385,1,3099261.9,4076820.6,0,0,46.2,83.4,48.1,83.9,659.2,4.2
Office,2.5,38,246911,1,12950948.9,18137.6,0,0,61,170.6,68.1,190.5,1850.7,8.7
Office,4,100,212651,1,795920.7,0,0,0,3.7,10.5,3.7,10.5,113.7,0.5
Office,1.5,38,126727,1,4136626.9,9279622.2,0,0,128.1,203.7,132.8,208.6,1083.7,10.3
Supermarket/Grocery Store,4,61,57498,1,7371387.2,5275599.8,0,0,220,455.3,228,459.9,1333,23.2
Supermarket/Grocery Store,3.5,72,77255,1,8294725.5,6536800,0,0,192,389.5,201.9,395.5,1531.9,19.8
Multifamily Housing,3.5,74,192927,1,2332948.2,7665428.4,0,0,56,81.6,60.3,85.3,740.4,4.1
Multifamily Housing,4,86,57930,1,1037548.3,2050100.3,0,0,61,99.9,64.4,102.4,257.1,5.1
Multifamily Housing,3,47,54182,1,1035183.7,2877979.7,0,0,74.1,112.1,79.2,117.5,300.7,5.7
Multifamily Housing,4,65,78167,1,1230374,4507168.6,0,0,82,116.9,88.7,123.2,415.1,5.9
K-12 School,4,95,61227,1,166116.1,2781825.1,0,0,48.1,55.3,56.1,63.9,171.5,2.8
Office,3,50,84100,1,3450821.7,4002270,0,0,88.6,164.9,93.8,169.3,705.4,8.4
K-12 School,3,64,54638,1,711909,3313269.7,0,0,73.7,100.2,81.5,108.4,277.7,5.1
K-12 School,3,65,75507,1,1680936.1,2680839.8,0,0,57.8,99.6,62.5,104.6,382.5,5.1
K-12 School,4,65,92238,1,1180865.9,5538739.8,0,0,72.9,98.9,80.1,107.2,462.8,5
K-12 School,1.5,35,54061,1,1119907.5,2697325,0,0,70.6,110.4,78.1,118.2,303.2,5.6
K-12 School,3,67,73060,1,276792.3,5975376.7,0,0,85.6,96.5,95.6,107,356.9,4.9
K-12 School,4,88,63851,1,307741.7,3441669.3,0,0,58.7,70.1,65.6,77.4,226.8,3.6
K-12 School,4,92,55455,1,473684.5,1392849.9,0,0,33.7,50.3,36.5,53.2,141.6,2.6
Multifamily Housing,2.5,60,74550,1,1259167.9,5849729.3,0,0,95.4,129.7,102.3,135.9,490.5,6.6
K-12 School,2,48,51852,1,877271.6,4201809.9,0,0,98,132.5,109.5,144.6,348.5,6.7
K-12 School,3.5,79,69921,1,882847.5,2415633.6,0,0,47.2,71.6,52,76.7,254.4,3.6
K-12 School,3.5,79,93355,1,1363340.7,4548799.7,0,0,63.3,92.1,69.3,98.3,436.3,4.7
K-12 School,1.5,34,108845,2,3149810.7,5087180,0,0,75.7,130.1,80,132.9,720.1,6.6
K-12 School,3,67,115458,2,3082298.8,2424440,0,0,47.7,96.8,50.2,99.5,569,4.9
K-12 School,3,66,142356,1,2400164.6,6601429.9,0,0,78.1,118.4,84,124.6,693.4,6
K-12 School,3,66,145775,2,2426132.6,6998080.1,0,0,64.6,97,72.5,105.3,718.2,4.9
K-12 School,2,48,213710,1,7848668,6054580,0,0,65.1,132.6,67.4,134,1442.6,6.8
K-12 School,1.5,38,208200,1,10558983.3,736630,0,0,54.3,145.7,55.4,149,1547.2,7.4
K-12 School,1,27,212285,1,9245138.1,8394049.8,0,0,83.1,163.5,82.4,161.6,1766.3,8.3
K-12 School,1,26,89103,3,3055820,4545240,0,0,85.3,149.6,91.5,156.1,677.9,7.6
K-12 School,2,50,115306,3,2278621.3,6637559.9,0,0,77.3,115.8,84.3,123.1,678,5.9
K-12 School,1,21,69329,2,1469206.2,6491909.6,0,0,114.8,157.7,126.1,169.5,554.7,8
K-12 School,2,42,78111,2,1531222.3,5155779.8,0,0,85.6,124.2,95.5,134.6,492.5,6.3
K-12 School,3.5,76,292121,2,4572035.6,12014950.5,0,0,56.8,87,62.1,92.6,1291.2,4.4
K-12 School,1,22,224604,1,11135478.3,7743080,0,0,84.1,175,84.6,170.7,2001.7,8.9
K-12 School,1,27,70232,1,1751178,5129710.5,0,0,98,146.5,106.5,155.5,522.6,7.4
K-12 School,2,48,65590,4,1618220.8,3019420,0,0,70.7,117.4,77.4,124.5,391.5,6
Office,4,67,99100,1,2623956.6,7677990.2,0,0,104,155.5,113.2,165.2,782.6,7.9
K-12 School,2,48,86520,5,2770812.5,2226590.1,0,0,57.8,116.7,60.7,119.8,514,5.9
K-12 School,3.5,78,85474,5,1755932.2,2043389.9,0,0,44.5,82.6,48.6,88.3,359.3,4.2
K-12 School,1,1,90742,1,8521476.8,4182500,0,0,140,311.3,144.7,316.3,1439.2,15.9
K-12 School,2.5,55,95219,1,2089702.9,4434550.1,0,0,68.5,110.4,75.1,118.5,534,5.6
K-12 School,1,15,79665,3,2995441.5,4868349.9,0,0,98.7,169.4,106.7,175.9,686.4,8.6
Retail Store,3.5,76,493547,1,9491726.8,4506100.2,0,0,73.2,163.8,76.1,166.8,1595,8.3
Multifamily Housing,2,43,145503,1,2822638.4,7304915.2,0,0,87.7,134.8,92.1,137.8,791.1,6.8
Office,4,93,70000,1,1394907.5,2202719.6,0,0,51.4,88.8,54.6,90.1,316.2,4.5
Multifamily Housing,4,96,266340,1,5612364.7,4867857.1,0,0,39.3,78.2,41.5,80.4,1060.1,4
Multifamily Housing,2,48,300047,1,5312364.6,10846599.7,0,0,94.3,153.3,99.7,157.3,1334.9,7.8
Multifamily Housing,2,50,428547,1,10392412.9,24734684.6,0,0,82,128.5,88.2,134,2798.1,6.5
Multifamily Housing,2.5,54,348150,1,8133112.7,14492697.1,0,0,93.8,157.5,100.3,164.3,1931.4,8
Multifamily Housing,1,16,399022,1,14220243.6,18041800.1,0,0,80.9,147.3,85.6,151.1,2989.3,7.5
Medical Office,1,25,64551,1,3928716.7,1199700,0,0,99.6,238.1,100.1,236.2,624.8,12.1
Office,3.5,79,99170,1,1943147.6,2404739,0,0,45.8,83.9,48.6,86.7,405.3,4.3
Office,1,7,452360,1,11851466,7273338.6,0,0,156.3,333.6,160.2,337.7,2079,17
Office,4,73,95866,1,3925332,362269.9,0,0,44.7,118.6,48.1,127.6,579.9,6
Multifamily Housing,4,81,152400,1,1466412.1,9480444.9,0,0,71.8,92.3,78.3,98.6,713,4.7
Multifamily Housing,4,85,162540,1,3232719.5,8973293.5,0,0,75.1,113.7,81,118.3,938.3,5.8
K-12 School,3.5,71,57350,1,1462557.2,2442300.1,0,0,68.1,116.1,73.8,122.2,338.6,5.9
K-12 School,3,48,165520,1,1772861.6,13673801.3,0,0,93.3,116.7,103.5,127.4,979.5,5.9
K-12 School,4,79,52381,1,1016209.6,2640999.9,0,0,69.8,107.3,76.2,114,285.4,5.4
K-12 School,2,41,69000,1,1968051.8,4709499.8,0,0,96.8,151.5,103.6,158.7,531.2,7.7
K-12 School,3,61,54101,1,1527221.4,2810700,0,0,80.2,133.6,86.2,139.9,367.4,6.8
Office,4,100,50835,1,203177.8,560990.3,0,0,15,22.8,0,0,56.6,1.1
Hotel,4,71,177137,1,5950043.5,11347030.1,0,0,97.6,161.3,103.7,167.7,1452.5,8.2
Senior Living Community,4,78,75000,1,1856848.3,7003999.9,0,0,118.1,167.4,117.1,164.4,637.2,8.5
Multifamily Housing,1,25,511146,1,23658739.8,2679501.8,0,0,53.7,140.9,55.9,146.6,3521.4,7.2
Residence Hall/Dormitory,3.5,78,299490,1,6381269.1,0,13031375.6,4286248.5,79.1,125,81.1,128.2,2002.6,6.7
Retail Store,3,46,50162,1,2217474.2,0,3207967.1,0,108.2,200.7,113.5,206.1,529.7,10.6
Office,4,61,59741,1,1348698.8,0,4197291.9,1092060,111.1,164.4,113.8,168.6,528.9,8.9
Residence Hall/Dormitory,2.5,51,338679,1,10986094.1,424603,20352963.4,7411955.3,115.7,184.4,117.4,187.6,3333.7,9.8
Office,3,64,90125,1,2565560.3,8903,5732071.4,1784399.9,112,174.3,113.7,177.3,841.5,9.3
Office,2,46,66084,1,2692365.2,0,4137317,0,103.3,189.4,106.8,189.6,659.3,10
Multifamily Housing,3,46,568809,1,18432419,5642609.6,0,0,50.1,119.7,52.1,123.9,2932.3,6.1
Senior Living Community,4,62,55031,1,1687783.3,5100299.6,0,0,123.6,183.5,129.5,188.1,512,9.3
Hotel,3.5,74,70265,0,3238926,1592742,0,0,68.8,152.9,69.8,152.8,547.2,7.8
Multifamily Housing,3.5,77,180000,3,3505973.3,10698599.8,0,0,78.9,116.9,83.1,120.2,1069,5.9
Multifamily Housing,4,83,387025,1,7535859.2,12317109.6,0,0,54.6,93.6,57,95.3,1730.5,4.8
Office,4,99,105883,1,1044842.1,1997782.7,0,0,28.7,47.4,31.2,50,255.3,2.4
Office,2.5,34,78751,1,4650324,0,0,0,59.1,165.3,59.3,166,664.2,8.4
Multifamily Housing,3.5,79,227267,1,4231999.1,9057322.7,0,0,58.5,94,61.3,95.6,1085.5,4.8
K-12 School,1.5,33,77012,1,3425525.2,1204633.5,0,0,80.1,187.9,82.8,190.7,553.2,9.6
Multifamily Housing,4,96,216000,4,1250822.5,10163700.3,0,0,52.8,65.6,57.2,69.7,718.5,3.3
Hotel,3.5,74,106734,1,4348853.3,4544694.5,0,0,83.3,158.8,0,0,862.5,8.1
Office,3,65,93852,1,4574618.5,0,4736418.8,0,99.2,197.2,100.6,196.2,967.9,10.3
Multifamily Housing,1.5,31,405149,1,12941535.2,7598245,0,0,70.8,152.4,73.6,157.3,2252,7.8
Supermarket/Grocery Store,1,29,74000,0,11734826.8,10224145.2,0,0,296.7,589.1,305.7,596,2219.1,30
Multifamily Housing,4,92,63375,1,366162.2,4234712.5,0,0,72.6,86.3,80.7,94.9,277.2,4.4
Hotel,1,6,140633,1,6104061.2,10678300,0,2525699.2,137.3,217.6,140.5,221.3,0,0
Multifamily Housing,3,47,204813,1,5073156.1,7303610.1,0,0,78.7,139.1,82.4,141.5,1112.5,7.1
Multifamily Housing,1,20,160000,1,2978656.6,11892365.9,0,0,92.9,130.2,102.6,138.2,1057.1,6.6
Office,4,94,85700,1,1916104.1,31293,0,0,22.7,63,24.5,68,275.3,3.2
Multifamily Housing,1.5,39,157000,1,1863552.5,12911091.9,0,0,94.1,119.6,103.4,128.2,951.9,6.1
K-12 School,4,64,70655,1,1752639.7,3565146.2,0,0,81,131.8,85.2,133.4,439.7,6.7
Multifamily Housing,4,85,121000,1,1402202,6360379.3,0,0,64.2,87.6,69.9,92.8,538.1,4.4
Senior Living Community,4,85,74000,1,1573877.1,2503542.2,0,0,55.1,95.1,58.6,98.7,357.8,4.8
Multifamily Housing,4,77,66645,1,1428643,1786481.6,0,0,57.4,104.9,60.1,107.7,298.9,5.3
Multifamily Housing,2,49,65492,1,994172.2,5596521.8,0,0,111.7,146.8,121.4,157,439.3,7.4
Multifamily Housing,3,50,122883,1,4695730.9,1865473.2,0,0,57.5,132.3,60.8,141.8,769.8,6.7
Multifamily Housing,4,86,194620,1,2419167,7742606.1,0,0,80.8,118.5,86.9,124.9,756.8,6
Multifamily Housing,1.5,34,174560,1,3270126.3,12555777.6,0,0,113.3,159.9,120.9,168,1134,8.1
Multifamily Housing,4,74,68594,2,1042872,3764631,0,0,73.1,104.5,78.5,110.1,348.9,5.3
Multifamily Housing,4,89,156620,1,3269129.7,5466888,0,0,55.8,95.1,59.6,98.2,757.3,4.8
Multifamily Housing,2,41,55300,2,996011.6,6634499.8,0,0,138,176.4,149.6,187.6,494.6,8.9
Multifamily Housing,4,92,51000,1,36283.4,3539084.3,0,0,70.1,74.9,78,83.1,193.2,3.8
Multifamily Housing,4,88,103635,1,1202762.8,5651105.2,0,0,66.1,89.8,71.6,94.6,471.9,4.6
Multifamily Housing,4,93,68783,3,505071.5,3477099.5,0,0,57.9,73.6,62.5,77.8,256.8,3.7
Senior Living Community,1.5,31,91245,1,2535400.2,4732425,0,0,98.9,164.2,104.4,168.9,613.5,8.3
Multifamily Housing,2.5,59,106015,1,3937454.8,3204608.4,0,0,67.4,135.7,70.5,142.4,732.6,6.9
Multifamily Housing,1,2,62250,1,2795769.3,4208036.3,0,0,112.5,196.7,115.8,200.2,622.8,10
Multifamily Housing,4,94,114360,3,1335473.9,5619607.2,0,0,62.8,87,67.5,91.3,489.2,4.4
Multifamily Housing,3.5,76,150526,1,1632273.5,5195458.6,0,0,61.8,90.7,65.3,92.7,509.1,4.6
Multifamily Housing,4,90,58772,1,1492169.6,3363018.3,0,0,82.6,131.2,87.2,135.4,391.7,6.7
Multifamily Housing,4,96,85000,2,1151148.1,3594988.1,0,0,55.8,82.3,59.8,86.5,355.4,4.2
Multifamily Housing,4,66,213000,6,2619110.9,11182275,0,0,64.8,89.4,69.4,94.3,965.5,4.5
Multifamily Housing,4,91,195630,1,1620523.3,682252.7,0,0,52.9,120.7,54.5,123.4,267.7,6.1
Multifamily Housing,1,28,150463,1,5210687,8603069.2,0,0,91.8,157,96.8,159.6,1201.2,8
Multifamily Housing,3,64,72000,1,1245676.5,4998227,0,0,86.7,121.3,93.7,126.6,443.4,6.2
Multifamily Housing,4,100,92500,1,644148.4,1197204.3,0,0,24.6,40.8,25.3,41.9,155.6,2.1
Multifamily Housing,4,97,83620,1,1232428,2517290.8,0,0,44.8,72.9,47.6,75.7,309.7,3.7
Multifamily Housing,4,92,47240,1,779798.3,2442860.7,0,0,68.2,100.5,71.2,102.6,241.1,5.1
Multifamily Housing,4,90,122864,1,1959434.5,2178155.9,0,0,49.2,92.5,49.8,91,395.6,4.7
Multifamily Housing,4,89,51000,1,999644.3,1830670,0,0,55.5,92.6,58.6,94.8,240,4.7
Multifamily Housing,4,89,75600,1,971885.7,5245077.2,0,0,82.2,108.8,88.3,115.2,417.4,5.5
Multifamily Housing,4,88,61200,1,552024.1,2892601.7,0,0,56.3,74.9,60,78.2,232.5,3.8
Multifamily Housing,4,86,99270,1,1187540.8,5447242.1,0,0,76.7,104.5,83,111.1,458.9,5.3
Multifamily Housing,4,91,92940,1,1424817.1,6009197.4,0,0,80,110.8,85.2,115.5,522.7,5.6
Multifamily Housing,4,96,130365,1,1455753.7,4837687.5,0,0,48.3,70.2,50.8,72.4,464.9,3.6
Multifamily Housing,1,3,55352,1,913756.1,10374501.9,0,0,203.9,243,222.9,262.6,681.5,12.3
Multifamily Housing,2.5,60,101401,2,2333812.2,6103767.9,0,0,83.2,127,87.4,131.5,657.5,6.5
Multifamily Housing,3.5,53,144765,6,2876537.4,9572404.3,0,0,86,125.1,93,132.8,919.3,6.4
Office,3.5,76,153229,1,4541631.3,5697956.6,0,0,66.8,122,71.2,126.4,951.3,6.2
Multifamily Housing,3,48,177250,1,2975547.2,11542649.6,0,0,87.9,123.8,95.9,132.2,1038.1,6.3
Multifamily Housing,3.5,76,259996,1,3211910.1,18350598.4,0,0,89.8,117.8,97.8,126.1,1433.4,6
Multifamily Housing,4,68,129430,1,2983801.2,6897999.8,0,0,76.3,120.5,82.9,126,792.6,6.1
Multifamily Housing,2,50,117100,1,2934746.5,5448470.5,0,0,71.6,119,74.8,121.3,708.6,6.1
Multifamily Housing,4,82,56500,1,834740,3327113.2,0,0,73.7,103.2,78.3,107,295.9,5.2
Multifamily Housing,4,86,80000,1,1608660.1,2706485.4,0,0,53.9,91.8,56.3,92.8,373.5,4.7
Multifamily Housing,4,93,93675,1,1348960.8,2692839.5,0,0,59.7,97.5,62.8,100.3,335.7,5
Multifamily Housing,4,94,65211,1,857601.4,3361278.9,0,0,64.7,90.9,68.2,93.7,301,4.6
Multifamily Housing,4,88,76037,1,1257970.3,2901527.8,0,0,65.2,103,68.9,105.4,333.8,5.2
Multifamily Housing,4,82,50000,1,895489.6,2417768.9,0,0,66.3,100.9,70.4,105.3,256.3,5.1
Multifamily Housing,1,13,101200,1,1375640.6,9255648.5,0,0,105.1,134.1,115.2,144.8,688.1,6.8
Multifamily Housing,4,91,82500,1,1284481.5,3234157.1,0,0,54.8,84.8,58.6,88.8,355.2,4.3
Multifamily Housing,4,85,105718,1,1934303.7,3631424.3,0,0,52.6,87.3,54.6,88.1,469.2,4.4
Multifamily Housing,4,98,144649,1,1668280.3,4355267.3,0,0,41.6,63.9,44.3,65.7,469.6,3.2
Multifamily Housing,4,94,137038,1,1785189.1,4090392.7,0,0,57.3,90.6,60.9,94.4,472.2,4.6
Multifamily Housing,4,65,73354,1,1099261.1,5945210.1,0,0,96,127.1,104.2,135.6,472.8,6.4
Office,4,85,66043,1,2217482.7,1506065.6,0,0,56.4,118,59.7,121.4,396.7,6
Senior Living Community,4,67,130428,1,2990656.6,3488389.8,0,0,77.8,144.5,82,149.8,612.4,7.4
Multifamily Housing,4,84,211608,1,5175686.7,7060829.5,0,0,57.8,103.5,61.3,107.1,1114.3,5.3
Multifamily Housing,1.5,39,79246,1,3007083.3,1319183.2,0,0,54.6,123.7,56.7,127.5,499.6,6.3
Multifamily Housing,4,95,162402,1,2835366.2,3617213,0,0,45.6,82.9,46.8,83.2,597.1,4.2
Multifamily Housing,4,86,76000,1,1504448.4,2583057.5,0,0,67.2,113.9,70.9,116.4,352.1,5.8
Multifamily Housing,4,88,94000,1,1532881.3,3502456.3,0,0,53.6,84.8,57.4,88,405,4.3
Multifamily Housing,3.5,80,186000,2,3005760.5,8088676.1,0,0,63,96.1,67.1,99.2,858.9,4.9
Multifamily Housing,4,90,242886,1,6042249.4,2072427.3,0,0,40,94.1,40.2,93.6,973.1,4.8
Multifamily Housing,4,91,115000,1,2302518.9,2736444.6,0,0,43.8,81,45.4,81.9,474.2,4.1
Office,1.5,39,91304,1,6655341.4,2462399.9,0,0,99.9,232.4,100.9,227.8,1081.3,11.8
Office,2,46,68862,1,4286717.4,2214313.3,0,0,94.4,208.1,97,207.4,729.9,10.6
Multifamily Housing,4,99,127712,1,1544883.3,3049682.4,0,0,40.9,67,40.3,65.4,382.6,3.4
Office,3,63,74429,1,3212889.7,2790104.4,0,0,80.7,160.2,85.1,164.9,607.1,8.2
Office,1.5,32,154716,1,15720237.3,0,0,0,101.6,284.5,104.4,292.3,2245.3,14.5
Multifamily Housing,4,85,207846,1,3360420.8,6346322.9,0,0,46.7,77.3,49.8,80.6,817,3.9
Multifamily Housing,4,84,54816,1,957073.8,1854187.1,0,0,51.3,84.4,54.6,87.8,235.2,4.3
Multifamily Housing,1,14,248335,1,12155529.8,2414280.6,0,0,69.7,175,73.9,186.2,1864.4,8.9
Multifamily Housing,4,96,53903,1,677137,1187800.2,0,0,34.6,58.3,36.2,58.9,159.8,3
Multifamily Housing,3.5,78,230594,1,3636550.5,11014418,0,0,77,114.3,80.5,116.7,1104.4,5.8
Multifamily Housing,4,99,53800,1,1129127.7,0,0,0,21,58.8,21,58.8,161.3,3
